Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Associate Psychologist ,108100,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108100"">Associate Psychologist </a>]"
Associate Psychologist ,108101,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108101"">Associate Psychologist </a>]"
Associate Psychologist ,108102,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108102"">Associate Psychologist </a>]"
Associate Psychologist ,108103,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108103"">Associate Psychologist </a>]"
Associate Psychologist ,108105,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108105"">Associate Psychologist </a>]"
Associate Psychologist ,108106,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108106"">Associate Psychologist </a>]"
Associate Psychologist ,108107,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108107"">Associate Psychologist </a>]"
Associate Psychologist ,108108,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108108"">Associate Psychologist </a>]"
Associate Psychologist ,108109,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108109"">Associate Psychologist </a>]"
Associate Psychologist ,108110,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108110"">Associate Psychologist </a>]"
Associate Psychologist ,108111,23,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108111"">Associate Psychologist </a>]"
Medicaid Redesign Analyst 1 - 99946,108117,18,"Health, Department of ",08/29/22,"[<a href=""vacancyDetailsView.cfm?id=108117"">Medicaid Redesign Analyst 1 - 99946</a>]"
"Vocational Rehabilitation Counselor Assistant, (Four Positions), Box ACS-2707/45452 (White Plains), ACS-2708/45175 (Brooklyn), ACS-2709/44451 (Bronx), ACS-2710/44051 (Kingston)",108121,13,"Education Department, State",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108121"">Vocational Rehabilitation Counselor Assistant, (Four Positions), Box ACS-2707/45452 (White Plains), ACS-2708/45175 (Brooklyn), ACS-2709/44451 (Bronx), ACS-2710/44051 (Kingston)</a>]"
Cleaner (Hourly),108133,NS,"Children & Family Services, Office of ",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=108133"">Cleaner (Hourly)</a>]"
"Manager, New Business Development",108140,NS,"Empire State Development, NYS ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=108140"">Manager, New Business Development</a>]"
Medical Specialist 2 - Broome,108141,38,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108141"">Medical Specialist 2 - Broome</a>]"
Clinical Physician 2 - Broome,108142,36,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108142"">Clinical Physician 2 - Broome</a>]"
Deputy Counsel,108143,NS,Executive Chamber of New York State,08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108143"">Deputy Counsel</a>]"
Senior Counsel/Assistant Counsel,108144,NS,Executive Chamber of New York State,08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108144"">Senior Counsel/Assistant Counsel</a>]"
Senior Counsel/Assistant Counsel,108145,NS,Executive Chamber of New York State,08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108145"">Senior Counsel/Assistant Counsel</a>]"
"Assistant Counsel, Box OP-1498/21235",108146,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=108146"">Assistant Counsel, Box OP-1498/21235</a>]"
Psychiatrist 2 - Broome,108149,38,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108149"">Psychiatrist 2 - Broome</a>]"
"Deputy Director, REDC, Mid-Hudson",108158,NS,"Empire State Development, NYS ",08/31/22,"[<a href=""vacancyDetailsView.cfm?id=108158"">Deputy Director, REDC, Mid-Hudson</a>]"
"Associate in Education of Children with Disabilities, Box PIMS-566/05055",108160,26,"Education Department, State",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=108160"">Associate in Education of Children with Disabilities, Box PIMS-566/05055</a>]"
Youth Counselor 1,108162,18,"Children & Family Services, Office of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108162"">Youth Counselor 1</a>]"
Youth Recreation Specialist 1,108163,14,"Children & Family Services, Office of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108163"">Youth Recreation Specialist 1</a>]"
Vocational Specialist 1,108166,18,"Children & Family Services, Office of ",08/08/22,"[<a href=""vacancyDetailsView.cfm?id=108166"">Vocational Specialist 1</a>]"
"E-Discovery Document Review Manager - Practice Technologies Group, NYC or Albany (DOA_PTG_NYC/ALB_6222)",108176,NS,"Attorney General, Office of the",08/05/22,"[<a href=""vacancyDetailsView.cfm?id=108176"">E-Discovery Document Review Manager - Practice Technologies Group, NYC or Albany (DOA_PTG_NYC/ALB_6222)</a>]"
Senior Engineering Technician/Engineering Technician Trainee (Region 3),108180,13,"Transportation, Department of ",08/11/22,"[<a href=""vacancyDetailsView.cfm?id=108180"">Senior Engineering Technician/Engineering Technician Trainee (Region 3)</a>]"
Assistant Research Scientist - 11935,108206,14,"Health, Department of ",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=108206"">Assistant Research Scientist - 11935</a>]"
Addictions Counselor Assistant (CK Post ATC),108208,11,"Addiction Services and Supports, Office of ",08/06/22,"[<a href=""vacancyDetailsView.cfm?id=108208"">Addictions Counselor Assistant (CK Post ATC)</a>]"
Research Scientist 4 (Clinical Genetics) - 14670,108210,27,"Health, Department of ",08/19/22,"[<a href=""vacancyDetailsView.cfm?id=108210"">Research Scientist 4 (Clinical Genetics) - 14670</a>]"
Youth Support Specialist (Perm),108216,14,"Children & Family Services, Office of ",08/17/22,"[<a href=""vacancyDetailsView.cfm?id=108216"">Youth Support Specialist (Perm)</a>]"
Youth Support Assistant (Hourly),108217,NS,"Children & Family Services, Office of ",08/10/22,"[<a href=""vacancyDetailsView.cfm?id=108217"">Youth Support Assistant (Hourly)</a>]"
Youth Recreation Specialist 2,108220,16,"Children & Family Services, Office of ",08/01/22,"[<a href=""vacancyDetailsView.cfm?id=108220"">Youth Recreation Specialist 2</a>]"
"Vocational Rehabilitation Counselor, (2 Positions), Box ACS-2706/43038 (Albany), ACS-2705/31007 (Garden City)",108225,19,"Education Department, State",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=108225"">Vocational Rehabilitation Counselor, (2 Positions), Box ACS-2706/43038 (Albany), ACS-2705/31007 (Garden City)</a>]"
Housekeeping/Floor Stripping/Waxing Position,108233,05,College of Optometry,12/01/22,"[<a href=""vacancyDetailsView.cfm?id=108233"">Housekeeping/Floor Stripping/Waxing Position</a>]"
Cook,108237,11,"Children & Family Services, Office of ",08/19/22,"[<a href=""vacancyDetailsView.cfm?id=108237"">Cook</a>]"
"Contract Management Specialist 1, Contract Management Specialist Trainee 1, Box CFO-539/60286",108238,18,"Education Department, State",08/02/22,"[<a href=""vacancyDetailsView.cfm?id=108238"">Contract Management Specialist 1, Contract Management Specialist Trainee 1, Box CFO-539/60286</a>]"
Electrical Engineer,108243,25,State University Construction Fund,09/30/22,"[<a href=""vacancyDetailsView.cfm?id=108243"">Electrical Engineer</a>]"
Design Project Manager,108244,23,State University Construction Fund,09/30/22,"[<a href=""vacancyDetailsView.cfm?id=108244"">Design Project Manager</a>]"
Construction Project Manager,108245,23,State University Construction Fund,09/30/22,"[<a href=""vacancyDetailsView.cfm?id=108245"">Construction Project Manager</a>]"
"Investigative Specialist 1, Box OP-1523/21431",108248,18,"Education Department, State",08/03/22,"[<a href=""vacancyDetailsView.cfm?id=108248"">Investigative Specialist 1, Box OP-1523/21431</a>]"
"Project Assistant, (Three Positions), Box OHE-913/51554, 51555, 51556",108250,NS,"Education Department, State",07/13/24,"[<a href=""vacancyDetailsView.cfm?id=108250"">Project Assistant, (Three Positions), Box OHE-913/51554, 51555, 51556</a>]"
"Project Assistant, Box OHE-914/51550",108252,NS,"Education Department, State",07/31/24,"[<a href=""vacancyDetailsView.cfm?id=108252"">Project Assistant, Box OHE-914/51550</a>]"
"Vocational Rehabilitation Counselor Assistant, Box ACS-2711/46450",108255,13,"Education Department, State",08/03/22,"[<a href=""vacancyDetailsView.cfm?id=108255"">Vocational Rehabilitation Counselor Assistant, Box ACS-2711/46450</a>]"
Standards Compliance Analyst 1,108269,18,"Children & Family Services, Office of ",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=108269"">Standards Compliance Analyst 1</a>]"
RN1  Registered Nurse 1  RN 1   EOA# 22-049R   Night,108270,14,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=108270"">RN1  Registered Nurse 1  RN 1   EOA# 22-049R   Night</a>]"
LPN  Licensed Practical Nurse  EOA# 22-237,108272,10,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=108272"">LPN  Licensed Practical Nurse  EOA# 22-237</a>]"
LPN  Licensed Practical Nurse   EOA# 22-238   Night,108273,10,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=108273"">LPN  Licensed Practical Nurse   EOA# 22-238   Night</a>]"
RN2  Registered Nurse 2  RN 2  EOA# 22-040R   Night,108275,16,"People With Developmental Disabilities, Office for",01/07/23,"[<a href=""vacancyDetailsView.cfm?id=108275"">RN2  Registered Nurse 2  RN 2  EOA# 22-040R   Night</a>]"
"Education Program Assistant 1, Education Trainee 1, Box OP-1504/01521",108277,14,"Education Department, State",08/03/22,"[<a href=""vacancyDetailsView.cfm?id=108277"">Education Program Assistant 1, Education Trainee 1, Box OP-1504/01521</a>]"
"Psychologist 2, Secure Treatment and Rehabilitaion Center, STARC, Oakview, P23107",108285,23,"Mental Health, Office of",08/03/22,"[<a href=""vacancyDetailsView.cfm?id=108285"">Psychologist 2, Secure Treatment and Rehabilitaion Center, STARC, Oakview, P23107</a>]"
DDSCTA 1/Trainee (Developmental Disabilities Secure Care Treatment Aide),108301,11,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108301"">DDSCTA 1/Trainee (Developmental Disabilities Secure Care Treatment Aide)</a>]"
DDSCTA 1/Trainee (Developmental Disabilities Secure Care Treatment Aide),108302,11,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108302"">DDSCTA 1/Trainee (Developmental Disabilities Secure Care Treatment Aide)</a>]"
Direct Support Assistant,108303,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108303"">Direct Support Assistant</a>]"
Direct Support Assistant,108304,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108304"">Direct Support Assistant</a>]"
Direct Support Assistant,108305,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108305"">Direct Support Assistant</a>]"
Direct Support Assistant,108306,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108306"">Direct Support Assistant</a>]"
Direct Support Assistant,108307,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108307"">Direct Support Assistant</a>]"
Direct Support Assistant,108308,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108308"">Direct Support Assistant</a>]"
Direct Support Assistant,108310,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108310"">Direct Support Assistant</a>]"
Direct Support Assistant,108311,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108311"">Direct Support Assistant</a>]"
Direct Support Assistant,108312,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108312"">Direct Support Assistant</a>]"
NYC Regional Coordinator (Special Assistant),108313,NS,"Children & Family Services, Office of ",09/06/22,"[<a href=""vacancyDetailsView.cfm?id=108313"">NYC Regional Coordinator (Special Assistant)</a>]"
Direct Support Assistant,108315,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108315"">Direct Support Assistant</a>]"
Direct Support Assistant,108316,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108316"">Direct Support Assistant</a>]"
Direct Support Assistant,108317,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108317"">Direct Support Assistant</a>]"
Direct Support Assistant,108318,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108318"">Direct Support Assistant</a>]"
Direct Support Assistant,108319,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108319"">Direct Support Assistant</a>]"
Direct Support Assistant,108320,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108320"">Direct Support Assistant</a>]"
Direct Support Assistant,108322,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108322"">Direct Support Assistant</a>]"
Direct Support Assistant,108323,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108323"">Direct Support Assistant</a>]"
Direct Support Assistant,108324,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108324"">Direct Support Assistant</a>]"
Nurse 2 NYS Veterans Home at Montrose,108330,16,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108330"">Nurse 2 NYS Veterans Home at Montrose</a>]"
Cleaner ,108332,05,"Health, Department of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=108332"">Cleaner </a>]"
Certified Nursing Assistant,108334,08,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108334"">Certified Nursing Assistant</a>]"
Licensed Practical Nurse,108335,10,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108335"">Licensed Practical Nurse</a>]"
Digital Forensic Manager - Upstate Regional Office,108336,NS,"State Inspector General, Office of ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108336"">Digital Forensic Manager - Upstate Regional Office</a>]"
Nurse 2 - Batavia - Continuous,108337,04,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=108337"">Nurse 2 - Batavia - Continuous</a>]"
Food Service Worker 2,108338,09,"Health, Department of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=108338"">Food Service Worker 2</a>]"
Food Service Worker 1 ,108340,05,"Health, Department of ",09/01/22,"[<a href=""vacancyDetailsView.cfm?id=108340"">Food Service Worker 1 </a>]"
Direct Support Assistant,108344,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108344"">Direct Support Assistant</a>]"
Direct Support Assistant,108345,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108345"">Direct Support Assistant</a>]"
Direct Support Assistant,108346,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108346"">Direct Support Assistant</a>]"
Direct Support Assistant,108347,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108347"">Direct Support Assistant</a>]"
Direct Support Assistant,108348,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108348"">Direct Support Assistant</a>]"
Direct Support Assistant,108349,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108349"">Direct Support Assistant</a>]"
Direct Support Assistant,108351,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108351"">Direct Support Assistant</a>]"
Direct Support Assistant,108352,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108352"">Direct Support Assistant</a>]"
Direct Support Assistant,108353,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108353"">Direct Support Assistant</a>]"
Direct Support Assistant,108354,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108354"">Direct Support Assistant</a>]"
Direct Support Assistant,108355,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108355"">Direct Support Assistant</a>]"
Direct Support Assistant,108356,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108356"">Direct Support Assistant</a>]"
Direct Support Assistant,108358,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108358"">Direct Support Assistant</a>]"
Direct Support Assistant,108359,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108359"">Direct Support Assistant</a>]"
Direct Support Assistant,108360,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108360"">Direct Support Assistant</a>]"
Direct Support Assistant,108362,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108362"">Direct Support Assistant</a>]"
Direct Support Assistant,108363,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108363"">Direct Support Assistant</a>]"
Direct Support Assistant,108364,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108364"">Direct Support Assistant</a>]"
Direct Support Assistant,108365,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108365"">Direct Support Assistant</a>]"
Direct Support Assistant,108366,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108366"">Direct Support Assistant</a>]"
Direct Support Assistant,108367,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108367"">Direct Support Assistant</a>]"
Direct Support Assistant,108368,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108368"">Direct Support Assistant</a>]"
Direct Support Assistant,108369,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108369"">Direct Support Assistant</a>]"
Direct Support Assistant,108370,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108370"">Direct Support Assistant</a>]"
Direct Support Assistant,108371,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108371"">Direct Support Assistant</a>]"
Direct Support Assistant,108372,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108372"">Direct Support Assistant</a>]"
Direct Support Assistant,108373,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108373"">Direct Support Assistant</a>]"
Research Scientist 5 (Epidemiology) - 09504,108375,31,"Health, Department of ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108375"">Research Scientist 5 (Epidemiology) - 09504</a>]"
Direct Support Assistant,108377,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108377"">Direct Support Assistant</a>]"
Direct Support Assistant,108378,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108378"">Direct Support Assistant</a>]"
Direct Support Assistant,108379,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108379"">Direct Support Assistant</a>]"
Direct Support Assistant,108380,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108380"">Direct Support Assistant</a>]"
Direct Support Assistant,108381,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108381"">Direct Support Assistant</a>]"
Direct Support Assistant,108382,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108382"">Direct Support Assistant</a>]"
Direct Support Assistant,108383,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108383"">Direct Support Assistant</a>]"
Direct Support Assistant,108384,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108384"">Direct Support Assistant</a>]"
Direct Support Assistant,108385,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108385"">Direct Support Assistant</a>]"
Direct Support Assistant,108387,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108387"">Direct Support Assistant</a>]"
Direct Support Assistant,108388,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108388"">Direct Support Assistant</a>]"
Direct Support Assistant,108389,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108389"">Direct Support Assistant</a>]"
Direct Support Assistant,108390,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108390"">Direct Support Assistant</a>]"
Direct Support Assistant,108391,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108391"">Direct Support Assistant</a>]"
Direct Support Assistant,108392,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108392"">Direct Support Assistant</a>]"
Direct Support Assistant,108393,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108393"">Direct Support Assistant</a>]"
Direct Support Assistant,108394,09,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108394"">Direct Support Assistant</a>]"
Licensed Psychologist,108395,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108395"">Licensed Psychologist</a>]"
Licensed Psychologist,108396,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108396"">Licensed Psychologist</a>]"
Licensed Psychologist,108397,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108397"">Licensed Psychologist</a>]"
Assistant Engineer (Civil/Transport),108398,20,Thruway Authority,08/31/22,"[<a href=""vacancyDetailsView.cfm?id=108398"">Assistant Engineer (Civil/Transport)</a>]"
Licensed Psychologist,108399,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108399"">Licensed Psychologist</a>]"
Licensed Psychologist,108400,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108400"">Licensed Psychologist</a>]"
Licensed Psychologist,108401,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108401"">Licensed Psychologist</a>]"
Licensed Psychologist,108402,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108402"">Licensed Psychologist</a>]"
Licensed Psychologist,108403,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108403"">Licensed Psychologist</a>]"
Licensed Psychologist,108404,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108404"">Licensed Psychologist</a>]"
Licensed Psychologist,108405,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108405"">Licensed Psychologist</a>]"
Licensed Psychologist,108406,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108406"">Licensed Psychologist</a>]"
Licensed Psychologist,108407,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108407"">Licensed Psychologist</a>]"
Licensed Psychologist,108408,25,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108408"">Licensed Psychologist</a>]"
Psychologist 1/2,108410,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108410"">Psychologist 1/2</a>]"
Psychologist 1/2,108411,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108411"">Psychologist 1/2</a>]"
Psychologist 1/2,108412,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108412"">Psychologist 1/2</a>]"
Psychologist 1/2,108414,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108414"">Psychologist 1/2</a>]"
Psychologist 1/2,108415,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108415"">Psychologist 1/2</a>]"
Psychologist 1/2,108416,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108416"">Psychologist 1/2</a>]"
Psychologist 1/2,108417,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108417"">Psychologist 1/2</a>]"
Psychologist 1/2,108418,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108418"">Psychologist 1/2</a>]"
Psychologist 1/2,108419,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108419"">Psychologist 1/2</a>]"
Psychologist 1/2,108420,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108420"">Psychologist 1/2</a>]"
Psychologist 1/2,108422,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108422"">Psychologist 1/2</a>]"
Psychologist 1/2,108423,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108423"">Psychologist 1/2</a>]"
Psychologist 1/2,108424,21,"People With Developmental Disabilities, Office for",10/15/22,"[<a href=""vacancyDetailsView.cfm?id=108424"">Psychologist 1/2</a>]"
"Application Developer/Analyst, IT (Ref#SJ006)",108429,NS,"Empire State Development, NYS ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108429"">Application Developer/Analyst, IT (Ref#SJ006)</a>]"
"Application Developer/Analyst, IT (Ref#SJ006)",108430,NS,"Empire State Development, NYS ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108430"">Application Developer/Analyst, IT (Ref#SJ006)</a>]"
Artificial Intelligence Engineer,108435,NS,"Empire State Development, NYS ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108435"">Artificial Intelligence Engineer</a>]"
Service and Repair Mechanic  (Motor Equipment),108436,12,"Corrections and Community Supervision, Department of ",09/14/22,"[<a href=""vacancyDetailsView.cfm?id=108436"">Service and Repair Mechanic  (Motor Equipment)</a>]"
"Associate or Senior Counsel, Corporate/Real Estate",108438,NS,"Empire State Development, NYS ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108438"">Associate or Senior Counsel, Corporate/Real Estate</a>]"
Administrative Assistant - PR,108441,NS,"Empire State Development, NYS ",08/14/22,"[<a href=""vacancyDetailsView.cfm?id=108441"">Administrative Assistant - PR</a>]"
