Job Title,Job Number,Job Grade,Job Agency,Application Due By
"Assistant Attorney General - Public Integrity Bureau, Real Estate Enforcement Unit (PIB/REEU_NYC_AAG_3486)",108744,NS,"Attorney General, Office of the",08/26/22
Youth Support Assistant (Perm),108757,09,"Children & Family Services, Office of ",08/15/22
"eDiscovery Document Review Manager - Practice Technologies Group, NYC or Albany (DOA_PTG_NYC/ALB_6222)",108760,NS,"Attorney General, Office of the",08/05/22
Human Resources Specialist 2,108764,Hourly,"State, Department of ",08/01/22
Administrative Assistant,108769,NS,"Parks, Recreation & Historic Preservation, Office of ",08/03/22
"Assistant in Instructional Services (Career and Technical Education), Box P12-2196/64115",108774,22,"Education Department, State",08/08/22
Cook,108783,11,"Children & Family Services, Office of ",08/05/22
Nurse 3 Psychiatric (M.A. Stutzman Addiction Treatment Center),108788,20,"Addiction Services and Supports, Office of ",08/02/22
Capital District Senior Architect,108790,24,"General Services, Office of ",08/25/22
Western Region Senior Architect ,108792,24,"General Services, Office of ",08/25/22
Loans & Grants Contract Administrator/Auditor,108794,NS,"Empire State Development, NYS ",09/18/22
Trades Generalist ,108798,12,"Parks, Recreation & Historic Preservation, Office of ",08/01/22
Motor Vehicle Operator,108804,07,University at Albany,08/02/22
"Senior Budgeting Analyst/Budgeting Analyst Trainee, Central Office;",108806,18,"Mental Health, Office of",08/02/22
"Automotive Facilities Inspector, or Automotive Facilities Inspector Trainee 1/2",108809,16,"Motor Vehicles, Department of ",08/31/22
"Automotive Facilities Inspector, or Automotive Facilities Inspector Trainee 1/2",108812,16,"Motor Vehicles, Department of ",08/31/22
"Automotive Facilities Inspector, or Automotive Facilities Inspector Trainee 1/2",108814,16,"Motor Vehicles, Department of ",08/31/22
"Automotive Facilities Inspector, or Automotive Facilities Inspector Trainee 1/2",108816,16,"Motor Vehicles, Department of ",08/31/22
"Teacher 2, 3, 4",108819,13,"Children & Family Services, Office of ",08/02/22
Professional Engineer 1 (Electrical),108821,24,"Parks, Recreation & Historic Preservation, Office of ",08/03/22
Director of Internal Audit - Albany,108824,NS,"Labor, Department of ",08/01/22
"Information Technology Specialist 2, Box PIMS-568/43705",108828,18,"Education Department, State",08/08/22
Senior Accountant or Accountant Trainee 1/2,108830,NS,"Insurance Fund, State ",08/02/22
"Information Technology Specialist 1, Box PIMS-570/01773",108834,14,"Education Department, State",08/08/22
"Office Assistant 1, Central Office;",108837,06,"Mental Health, Office of",08/02/22
Office Assistant 1 Keyboarding,108841,06,"Children & Family Services, Office of ",08/02/22
Engineer Trainee/Assistant Engineer (Civil/Transportation),108844,18,"Transportation, Department of ",08/01/22
Health Information Management Administrator 3 - CNYDDSO,108854,22,"People With Developmental Disabilities, Office for",08/02/22
"Information Technology Specialist 2, Box PIMS-571/00025",108857,18,"Education Department, State",08/09/22
Executive Assistant,108863,08,"Senate, NYS",08/12/22
Deputy Procurement Officer,108867,16,"Senate, NYS",08/12/22
Chief of Staff,108869,23,"Senate, NYS",08/12/22
"Information Technology Specialist 4, Box PIMS-572/01756",108871,25,"Education Department, State",08/09/22
Legislative Director,108874,18,"Senate, NYS",08/12/22
Legislative Librarian,108878,21,"Senate, NYS",08/12/22
Data Analyst I ,108880,14,"Senate, NYS",08/12/22
Community Liaison,108882,11,"Senate, NYS",08/12/22
Public Information Specialist 1,108887,18,"Transportation, Department of ",08/19/22
"Education Credentials Specialist 1, Education Credentials Specialist Trainee 1, (4 Positions), Box OHE-918/20064, OHE-931/14639, OHE-962/43237, OHE-963/43243",108893,18,"Education Department, State",08/09/22
Licensed Master Social Worker 2,108907,20,"Children & Family Services, Office of ",08/19/22
Research Scientist 1 (Microbiology) - 14344,108910,18,"Health, Department of ",08/19/22
Director of Agency Emergency Management ,108913,NS,"State, Department of ",08/02/22
"Architect - Upstate Design - Albany, NY",108922,NS,DASNY - Dormitory Authority of the State of New York,09/01/22
"Senior Attorney, Central Office;",108927,25,"Mental Health, Office of",08/19/22
"Launderer, Box BAT-443/00639",108929,05,"Education Department, State",08/02/22
Trades Generalist,108931,Hourly,"Parks, Recreation & Historic Preservation, Office of ",08/08/22
Executive Assistant/Financial Coordinator,108933,NS,"Empire State Development, NYS ",09/19/22
Addictions Counselor 1 (Kingsboro Addiction Treatment Center),108936,16,"Addiction Services and Supports, Office of ",08/03/22
Chief Credit Officer and Committee Head,108941,NS,"Insurance Fund, State ",08/20/22
Senior Corporate Bond Portfolio Manager and Strategist,108943,NS,"Insurance Fund, State ",08/20/22
Health Program Administrator 4 - 46184,108945,663,"Health, Department of ",08/02/22
"Nursing Home Activities Assistant 1 - 40547, 40548, 40549",108947,NS,"Health, Department of ",09/01/22
Hospital Nursing Services Consultant - 51148,108949,22,"Health, Department of ",08/03/22
Hospital Nursing Services Consultant - 46901,108951,22,"Health, Department of ",08/03/22
Senior Accountant (Accountant Trainee) - Item# 02728,108963,18,"State Comptroller, Office of the ",08/03/22
Maintenance Supervisor 2,108971,18,"Military and Naval Affairs, Division of ",09/30/22
Associate Attorney Financial Services,108974,663,"Financial Services, Department of",08/04/22
"Project Manager 2, Ref #15848",108976,23,"Information Technology Services, Office of",07/31/22
Nurse 2,108983,NS,"Children & Family Services, Office of ",08/19/22
Nurse 2 Psychiatric or Nurse 1 (John L. Norris Addiction Treatment Center),108987,16,"Addiction Services and Supports, Office of ",08/04/22
Training Specialist 1 - Mental Hygiene - CNYDDSO,108992,18,"People With Developmental Disabilities, Office for",08/03/22
"Mental Hygiene Program Evaluation Specialist 3, Creedmoor Psychiatric Center, P23055",108995,23,"Mental Health, Office of",08/03/22
Office Assistant 1,108999,06,"State, Department of ",08/04/22
Electronics Security Systems Program Manager,109002,18,"Military and Naval Affairs, Division of ",08/04/22
General Mechanic,109004,12,"Military and Naval Affairs, Division of ",09/30/22
General Mechanic,109006,12,"Military and Naval Affairs, Division of ",09/30/22
Maintenance Supervisor 2-REPOST,109009,18,"Military and Naval Affairs, Division of ",09/30/22
Labor Services Representative/Trainee 1/2 - Albany,109011,16,"Labor, Department of ",08/03/22
Air Base Security Guard-REPOST,109014,12,"Military and Naval Affairs, Division of ",09/30/22
Professional Engineer 1 (Civil/Transportation) (Region 11),109016,24,"Transportation, Department of ",08/03/22
Maintenance Assistant,109018,09,"Military and Naval Affairs, Division of ",09/30/22
Maintenance Assistant,109020,09,"Military and Naval Affairs, Division of ",09/30/22
Facilities Operations Assistant 1 ,109022,06,"Military and Naval Affairs, Division of ",09/30/22
Clinical Physician,109025,NS,"Corrections and Community Supervision, Department of ",08/01/22
Minority Business Specialist 1,109027,18,"Corrections and Community Supervision, Department of ",08/21/22
Examinations Manager,109034,31,"Financial Services, Department of",08/04/22
Maintenance Assistant (Seasonal) - 2 positions ,109038,Hourly,"Environmental Conservation, Department of ",08/04/22
Maintenance Assistant (Seasonal),109040,Hourly,"Environmental Conservation, Department of ",08/04/22
Maintenance Assistant (Seasonal),109043,Hourly,"Environmental Conservation, Department of ",08/04/22
Medicaid Redesign Analyst 1(Trainee 1/Trainee 2) - 99373,109046,18,"Health, Department of ",12/31/22
Medicaid Redesign Analyst 1(Trainee 1/Trainee 2) - 99393,109049,18,"Health, Department of ",12/31/22
Auditor 1,109051,18,"People With Developmental Disabilities, Office for",08/03/22
"Auditor 1, Auditor Trainee 1, Box PIMS-547/00819",109054,18,"Education Department, State",08/11/22
Nurse 2 Psychiatric or Nurse 1 - (Russell E. Blaisdell ATC),109058,16,"Addiction Services and Supports, Office of ",08/05/22
Hospital Nursing Services Consultant - 59689,109060,22,"Health, Department of ",08/08/22
Community Health Program Manager 3 - 32634,109063,664,"Health, Department of ",08/08/22
Program Research Specialist 2 (Public Health) or Trainee 1 - 23580,109070,18,"Health, Department of ",08/04/22
Community & Regional Banks Team Leader,109074,33,"Financial Services, Department of",08/05/22
Trades Specialist-Plumber and Steamfitter - Montrose,109076,12,"Health, Department of ",09/30/22
Contract Management Specialist 2,109080,23,"Transportation, Department of ",08/05/22
Labor Services Representative Spanish Language/ Trainee 1/2 (Hourly)- Bronx,109085,16,"Labor, Department of ",08/04/22
"Licensed Master Social Worker 2, Hutchings Psychiatric Center, Outpatient, P23129",109087,20,"Mental Health, Office of",08/08/22
Accountant- Accounts Payable ,109090,NS,DASNY - Dormitory Authority of the State of New York,08/18/22
Chief Actuary – Workers’ Compensation Reserve Unit,109092,NS,"Insurance Fund, State ",08/21/22
Information Technology Specialist 3 (Information Security),109094,23,Thruway Authority,08/04/22
Licensed Master Social Worker 2,109098,20,"Children & Family Services, Office of ",08/31/22
Labor Services Representative/Trainee 1/2 (Hourly) - Albany,109101,NS,"Labor, Department of ",08/04/22
Youth Support Specialist (Perm),109109,14,"Children & Family Services, Office of ",08/22/22
Research Scientist 1 ,109116,18,"Environmental Conservation, Department of ",08/05/22
Research Scientist 1 ,109120,18,"Environmental Conservation, Department of ",08/05/22
Environmental Engineering Technician 1 (Seasonal),109129,Hourly,"Environmental Conservation, Department of ",08/05/22
Office Assistant 1 (Seasonal),109133,Hourly,"Environmental Conservation, Department of ",08/05/22
Radio Dispatcher - Multiple Positions,109136,10,"Environmental Conservation, Department of ",08/05/22
Engineer Trainee/Assistant Engineer (Civil/Transportation),109140,18,"Transportation, Department of ",08/08/22
Office Assistant 2,109145,09,"People With Developmental Disabilities, Office for",08/05/22
Office Assistant 2  ,109147,09,"People With Developmental Disabilities, Office for",08/05/22
Office Assistant 1,109149,06,"People With Developmental Disabilities, Office for",08/05/22
"Licensed Master Social Worker 2, Buffalo Psychiatric Center, P23134",109151,20,"Mental Health, Office of",08/12/22
Assistant Engineer (Env)/ Engineer Trainee,109153,NS,"Environmental Conservation, Department of ",08/05/22
Social Work Assistant 3,109156,17,"People With Developmental Disabilities, Office for",08/05/22
Licensed Master Social Worker 1,109161,18,"People With Developmental Disabilities, Office for",08/05/22
Licensed Master Social Worker 1,109163,18,"People With Developmental Disabilities, Office for",08/05/22
Assistant Engineer (Env)/ Engineer Trainee,109165,NS,"Environmental Conservation, Department of ",08/05/22
Assistant Counsel (working title: Junior Appellate Attorney) ,109169,NS,"Indigent Legal Services, Office of  ",08/22/22
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Albion Satellite Unit, P23149",109171,20,"Mental Health, Office of",09/01/22
"Licensed Psychologist, Central New York Psychiatric Center – Attica Satellite Units, P23142",109173,25,"Mental Health, Office of",09/01/22
Safety and Security Officer 1/Trainee  EOA#: 22-241,109175,NS,"People With Developmental Disabilities, Office for",08/04/22
"Licensed Master Social Worker 2, Central New York Psychiatric Center, Auburn Satellite Unit, P23144",109177,20,"Mental Health, Office of",09/01/22
Assistant Counsel (working title: Appellate Attorney) ,109179,NS,"Indigent Legal Services, Office of  ",08/22/22
Administrative Assistant 1(Administrative Assistant Trainee) - 12631,109182,11,"Health, Department of ",08/05/22
Administrative Assistant 1(Administrative Assistant Trainee) - 12634,109184,11,"Health, Department of ",08/19/22
Community Mental Health Nurse,109186,19,"People With Developmental Disabilities, Office for",08/05/22
"Chief Data Officer, Ref #00027",109190,NS,"Information Technology Services, Office of",08/31/22
Youth Counselor 1,109195,18,"Children & Family Services, Office of ",08/05/22
General Counsel,109199,667,"Transportation, Department of ",08/08/22
Licensed Master Social Worker 2 (St. Lawrence Addiction Treatment Center),109202,20,"Addiction Services and Supports, Office of ",08/09/22
Building Inspector,109208,Hourly,"Parks, Recreation & Historic Preservation, Office of ",08/05/22
Senior Employment Security Clerk (Hourly) - Albany,109210,NS,"Labor, Department of ",08/08/22
"Food Service Worker 2, Pilgrim Psychiatric Center, P23150",109212,09,"Mental Health, Office of",08/11/22
Training Specialist 1/Trainee 1/Trainee 2,109217,18,"Transportation, Department of ",08/09/22
Office Aide,109222,Hourly,"Parks, Recreation & Historic Preservation, Office of ",08/05/22
Addictions Counselor Assistant  (Dick Van Dyke Addiction Treatment Center),109226,11,"Addiction Services and Supports, Office of ",08/09/22
"Body Repair Inspector, or Body Repair Inspector Trainee 1/2",109228,16,"Motor Vehicles, Department of ",08/31/22
Research Scientist 5 (Computer Science),109231,31,"People With Developmental Disabilities, Office for",08/08/22
Trades Generalist - Painter,109235,12,SUNY Brockport,08/04/22
Traffic Systems Technician 1/Trainee 1/Trainee 2 (Region 2),109238,14,"Transportation, Department of ",08/09/22
Office Assistant 2 Calculations (Region 2),109241,09,"Transportation, Department of ",08/04/22
Teaching Assistant,109245,09,"Children & Family Services, Office of ",08/26/22
"Assistant Attorney General, Claims Bureau – Torts Section NYC (CLA/TS_NYC_AAG_3479)",109249,NS,"Attorney General, Office of the",08/19/22
Maintenance Assistant (Seasonal) - Multiple Positions,109252,Hourly,"Environmental Conservation, Department of ",08/08/22
Contract Management Specialist 1/Trainee 1/2,109255,18,"Children & Family Services, Office of ",08/08/22
"Public Information Specialist 2, Box OCE-1221/26213",109259,23,"Education Department, State",08/15/22
Trades Generalist (Temporary/Hourly) – Central Office;,109261,Hourly,"Mental Health, Office of",09/05/22
"Facility Operations Assistant 1 (Temporary/Hourly) – Three Positions, Central Office;",109263,Hourly,"Mental Health, Office of",09/05/22
"Facility Operations Assistant 1 (Temporary/Hourly) – Two Positions, Central Office;",109266,Hourly,"Mental Health, Office of",09/05/22
Office Assistant 1 ,109271,06,"Civil Service, Department of ",08/05/22
"Facility Operations Assistant 1 (Temporary/Hourly) – Three Positions, Central Office;",109275,Hourly,"Mental Health, Office of",09/05/22
Human Resources Specialist Tr. 1 Benefits/Human Resources Specialist 1 Benefits,109284,18,"Civil Service, Department of ",08/04/22
FS Specialist 2 (Pharmacy Benefits Manager Policy Analyst),109286,23,"Financial Services, Department of",08/10/22
Clinical Laboratory Consultant - 45116,109288,22,"Health, Department of ",08/09/22
"Contract Management Specialist 1, G18",109290,18,"Agriculture & Markets, Department of ",08/05/22
Health Program Director 2 - 51503,109297,665,"Health, Department of ",08/09/22
Compliance Specialist 1,109300,18,"Transportation, Department of ",08/10/22
Habilitation Specialist 1 (Qualified Intellectual Disability Professional*),109304,14,"People With Developmental Disabilities, Office for",08/03/22
Administrative Assistant 2,109307,15,"Human Rights, Division of ",08/26/22
Dental Hygienist,109312,12,"People With Developmental Disabilities, Office for",08/03/22
Office Assistant 2 (Keyboarding),109315,09,"People With Developmental Disabilities, Office for",08/03/22
Trades Generalist ,109317,12,"Parks, Recreation & Historic Preservation, Office of ",08/04/22
Office Assistant 2,109319,09,"People With Developmental Disabilities, Office for",08/03/22
"Assistant Attorney General, Civil Recoveries Bureau - Oil Spill Unit (CRB/OSU_ALB_AAG_3489)",109322,NS,"Attorney General, Office of the",09/02/22
Assistant Chief Investigations,109328,NS,New York State Justice Center For The Protection Of People With Special Needs,08/10/22
Social Work Assistant 3 - Broome,109332,17,"People With Developmental Disabilities, Office for",08/09/22
Dietitian 2 - Broome,109336,18,"People With Developmental Disabilities, Office for",08/09/22
"Trades Generalist (Temporary/Hourly) – Two Positions, Central Office;",109339,Hourly,"Mental Health, Office of",09/05/22
Immigrant Workers Specialist 3 - Albany,109342,662,"Labor, Department of ",08/09/22
Immigrant Workers Specialist 3 - New York City,109345,662,"Labor, Department of ",08/09/22
Administrative Assistant 1,109347,11,"Children & Family Services, Office of ",08/10/22
Senior Attorney,109351,25,"Agriculture & Markets, Department of ",08/07/22
Office Assistant 1 - Item #00850 & 00851 (2 positions),109353,06,"State Comptroller, Office of the ",08/06/22
"Deputy Director, Psychiatric Center 2 – Operation, Kingsboro Psychiatric Center, P23151",109355,666,"Mental Health, Office of",08/24/22
"Staff Accountant, Accounts Receivable",109358,NS,"Empire State Development, NYS ",09/27/22
Facility Operations Assistant 1,109361,NS,"General Services, Office of ",08/11/22
RN2  Registered Nurse 2  RN 2    EOA# 22-252  Days  Westchester County,109367,16,"People With Developmental Disabilities, Office for",01/07/23
Office Assistant 1 Keyboarding #22-315bjd,109369,06,"People With Developmental Disabilities, Office for",08/10/22
Veterans Benefits Advisor 1,109371,18,"Veteran's Affairs, Division of ",08/11/22
RN2  Registered Nurse 2  RN 2  EOA# 22-255,109377,16,"People With Developmental Disabilities, Office for",01/07/23
Habilitation Specialist 1 - LIT,109384,14,"People With Developmental Disabilities, Office for",08/05/22
Nurse 2,109388,16,"Children & Family Services, Office of ",08/11/22
Legal Assistant 2 - Item #01283,109391,17,"State Comptroller, Office of the ",08/11/22
"Archives and Records Management Specialist 2, Box OCE-1288/26061",109393,18,"Education Department, State",08/17/22
Auditor Trainee 1,109396,14,"Medicaid Inspector General, NYS Office of the ",08/12/22
Printing Equipment Operator 3 - 119,109399,12,"Health, Department of ",08/10/22
Nurse 2 Psychiatric or Nurse 1(M.A. Stutzman ATC),109405,16,"Addiction Services and Supports, Office of ",08/11/22
Fish and Wildlife Technician 1 (Seasonal) ,109410,Hourly,"Environmental Conservation, Department of ",08/10/22
Habilitation Specialist 1 - Broome,109412,14,"People With Developmental Disabilities, Office for",08/09/22
Senior Physical Therapist,109414,18,"People With Developmental Disabilities, Office for",08/09/22
"Senior Budgeting Analyst/Budgeting Analyst Trainee, Central Office;",109416,18,"Mental Health, Office of",08/12/22
Youth Support Specialist (Hourly),109421,NS,"Children & Family Services, Office of ",08/28/22
Youth Support Assistant (Hourly),109423,NS,"Children & Family Services, Office of ",08/28/22
"Assistant Attorney General, Executive Division (EXEC_NYC_AAG_3490)",109426,NS,"Attorney General, Office of the",08/26/22
Investigative Officer 1/Trainee (Spanish Language) - New York City,109430,16,"Labor, Department of ",08/11/22
"Senior Budgeting Analyst/Budgeting Analyst Trainee, Ref# 70119",109432,18,"Information Technology Services, Office of",08/08/22
Convention & Arts Center Operations Coordinator,109435,14,"General Services, Office of ",08/12/22
Trades Specialist (Electrician) #22-317bjd,109439,12,"People With Developmental Disabilities, Office for",08/11/22
"Health Program Administrator or Health Program Administrator Trainee 1/Trainee 2 - 46540, 46097 ",109442,NS,"Health, Department of ",08/11/22
Highway Maintenance Worker 2,109444,10,"Transportation, Department of ",08/08/22
Highway Maintenance Worker 2,109446,10,"Transportation, Department of ",08/08/22
Highway Maintenance Worker 2,109448,10,"Transportation, Department of ",08/08/22
Highway Maintenance Supervisor 1,109453,13,"Transportation, Department of ",08/08/22
Maintenance Assistant,109455,09,"Transportation, Department of ",08/08/22
Bridge Repair Supervisor 1 ,109457,14,"Transportation, Department of ",08/08/22
Principal Engineering Technician,109459,16,"Transportation, Department of ",08/12/22
Associate Attorney,109461,NS,"Financial Services, Department of",08/12/22
Senior Administrative Analyst/Trainee 1/Trainee 2,109463,18,"Transportation, Department of ",08/12/22
Trades Generalist,109465,12,"Children & Family Services, Office of ",08/15/22
"Nurse 2 Psychiatric or Nurse 1, EVENINGS (M.A. Stutzman ATC)",109467,16,"Addiction Services and Supports, Office of ",08/12/22
Investigative Officer 1/Trainee 1 - New York City,109469,16,"Labor, Department of ",08/11/22
"Teacher 2, 3, 4",109473,13,"Children & Family Services, Office of ",08/11/22
Trades Generalist,109475,12,"People With Developmental Disabilities, Office for",08/07/22
Facilities Operations Assistant 1 (Grounds),109482,06,University at Albany,08/12/22
"Assistant Counsel, Central Office;",109489,NS,"Mental Health, Office of",08/26/22
Compliance Specialist 3,109492,25,"Transportation, Department of ",08/15/22
Compliance Specialist 1,109495,18,"Transportation, Department of ",08/15/22
Homeland Security Program Analyst 1,109498,18,"Homeland Security and Emergency Services, Division of ",08/12/22
Assistant Counsel (Director of De Novo Unit),109502,NS,New York State Justice Center For The Protection Of People With Special Needs,08/28/22
Assistant Counsel (Lead Counsel - De Novo Unit),109504,NS,New York State Justice Center For The Protection Of People With Special Needs,08/28/22
"Investigative Specialist 1, Box ACS-2615/14627",109506,18,"Education Department, State",08/19/22
Assistant Counsel (Lead Counsel - De Novo Unit),109508,NS,New York State Justice Center For The Protection Of People With Special Needs,08/28/22
Administrative Specialist 1 - Item # 01502,109512,18,"State Comptroller, Office of the ",08/12/22
Community Health Program Manager 1 - 32380,109514,662,"Health, Department of ",08/15/22
"Associate in Education Improvement Services, Box OHE-948/65005",109516,26,"Education Department, State",08/19/22
"Associate in Education Improvement Services, Box OHE-949/66128",109520,26,"Education Department, State",08/19/22
Bridge Repair Assistant / Trainee 2 / Trainee 1 Region 9,109522,NS,"Transportation, Department of ",08/11/22
Bridge Repair Assistant / Trainee 2 / Trainee 1 Region 9,109524,NS,"Transportation, Department of ",08/11/22
Bridge Repair Assistant / Trainee 2 / Trainee 1 Region 9,109526,NS,"Transportation, Department of ",08/11/22
Social Work Assistant 2,109528,14,"People With Developmental Disabilities, Office for",08/10/22
C220104 - Facility Operations Assistant 1 (Grounds) - Campus Operations,109531,06,University at Buffalo,08/11/22
Office Assistant 1 - Keyboarding (Seasonal),109538,Hourly,"Environmental Conservation, Department of ",08/12/22
Senior Attorney,109540,25,"Insurance Fund, State ",08/13/22
"Associate in Higher Education, Box OHE-955/66359",109543,26,"Education Department, State",08/19/22
"Executive Assistant, Small Business & Technology Development	",109546,NS,"Empire State Development, NYS ",09/29/22
Addictions Counselor 1 (Russell E. Blaisdell ATC),109549,16,"Addiction Services and Supports, Office of ",08/13/22
Written Exam Proctor - Buffalo,109551,NS,"State, Department of ",08/12/22
Community Correction Representative 2,109553,23,"Criminal Justice Services, Division of ",08/08/22
"Director, Community Relations	",109556,NS,"Empire State Development, NYS ",09/29/22
Program Operations Specialist 1,109561,18,"People With Developmental Disabilities, Office for",08/12/22
"Senior Budgeting Analyst, G18",109564,18,"Agriculture & Markets, Department of ",08/08/22
Manager of Licensing,109566,NS,NYS Gaming Commission,08/12/22
Maintenance Assistant (Hourly) - Creedmoor ATC,109569,Hourly,"Addiction Services and Supports, Office of ",08/29/22
Auditor Trainee* OR Auditor 1,109573,18,"Public Service, Department of ",08/11/22
Nurse 2,109579,16,"Corrections and Community Supervision, Department of ",08/02/22
"Office Assistant 1, Central Office;",109581,06,"Mental Health, Office of",08/13/22
Associate Psychologist,109583,23,"Children & Family Services, Office of ",08/22/22
Psychologist 2,109585,23,"Children & Family Services, Office of ",08/22/22
School Aide Budget and Policy Analyst - EDU - Ref #22-82 ,109588,NS,"Budget, Division of",08/12/22
Management Specialist 1/Trainee 1,109591,18,"Medicaid Inspector General, NYS Office of the ",08/15/22
